time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2025-11-03 04:21:00+00:00,SHORT,4004.5722,4007.4944,0.68,316.9,4.76,312.14,2,True,WIN,10312.14
2025-11-04 04:03:00+00:00,LONG,3976.95927,3974.08854,0.72,137.8,5.04,132.76,1,True,BREAKEVEN,10444.9
2025-11-05 01:06:00+00:00,SHORT,3940.63159,3942.46318,1.14,554.97,7.98,546.99,3,True,WIN,10991.89
2025-11-05 12:06:00+00:00,LONG,3958.06527,3954.43054,0.6,363.47,4.2,359.27,2,True,WIN,11351.16
2025-11-06 08:00:00+00:00,LONG,3985.23039,3984.33078,2.52,651.22,17.64,633.58,3,True,WIN,11984.75
2025-11-07 01:00:00+00:00,LONG,3975.72512,3974.64024,2.21,688.73,15.47,673.26,3,False,WIN,12658.01
2025-11-07 04:30:00+00:00,LONG,3992.70336,3990.97672,1.47,423.03,10.29,412.74,2,True,WIN,13070.74
2025-11-07 07:24:00+00:00,LONG,3992.49186,3991.43372,2.47,750.78,17.29,733.49,3,True,WIN,13804.24
2025-11-10 11:15:00+00:00,LONG,4073.02315,4071.0463,1.4,795.02,9.8,785.22,3,False,WIN,14589.46
2025-11-11 01:48:00+00:00,SHORT,4122.22667,4123.65334,2.05,759.53,14.35,745.18,3,True,WIN,15334.63
2025-11-11 07:06:00+00:00,LONG,4136.12707,4134.36414,1.74,511.25,12.18,499.07,2,True,WIN,15833.7
2025-11-12 12:30:00+00:00,LONG,4118.72988,4116.94976,1.78,910.22,12.46,897.76,3,False,WIN,16731.46
2025-11-13 08:03:00+00:00,LONG,4205.47169,4203.48338,1.68,222.69,11.76,210.93,1,True,BREAKEVEN,16942.39
2025-11-14 05:54:00+00:00,LONG,4201.78526,4200.23052,2.18,225.96,15.26,210.7,1,True,BREAKEVEN,17153.08
2025-11-17 01:03:00+00:00,SHORT,4088.60349,4090.60698,1.71,916.9,11.97,904.93,3,True,WIN,18058.01
2025-11-18 01:45:00+00:00,LONG,4030.92203,4026.97406,0.91,598.78,6.37,592.41,2,True,WIN,18650.42
2025-11-18 03:00:00+00:00,SHORT,4044.05782,4046.94564,1.29,593.79,9.03,584.76,2,True,WIN,19235.18
2025-11-18 07:21:00+00:00,SHORT,4020.74266,4023.48532,1.4,246.18,9.8,236.38,1,True,BREAKEVEN,19471.56
2025-11-18 09:12:00+00:00,LONG,4003.25866,4001.20732,1.9,1119.61,13.3,1106.31,3,True,WIN,20577.87
2025-11-19 01:00:00+00:00,LONG,4063.75851,4062.34702,2.92,1183.96,20.44,1163.52,3,True,WIN,21741.39
2025-11-19 02:51:00+00:00,LONG,4069.01717,4067.46434,2.8,289.86,19.6,270.26,1,True,BREAKEVEN,22011.65
2025-11-20 09:45:00+00:00,LONG,4055.56829,4052.16658,1.29,292.55,9.03,283.52,1,True,BREAKEVEN,22295.17
2025-11-21 01:09:00+00:00,SHORT,4082.37609,4084.11218,2.57,279.46,17.99,261.47,1,True,BREAKEVEN,22556.64
2025-11-21 03:03:00+00:00,LONG,4065.02802,4062.39604,1.71,-450.07,11.97,-462.04,0,True,LOSS,22094.6
2025-11-21 06:09:00+00:00,SHORT,4062.29662,4064.57324,1.94,1192.44,13.58,1178.86,3,True,WIN,23273.45
2025-11-21 08:00:00+00:00,SHORT,4063.24686,4067.17372,1.19,1295.56,8.33,1287.23,3,True,WIN,24560.68
2025-11-21 10:03:00+00:00,LONG,4022.39702,4019.57404,1.74,1411.02,12.18,1398.84,3,False,WIN,25959.52
2025-11-24 11:06:00+00:00,SHORT,4068.41048,4070.01096,3.24,-518.56,22.68,-541.24,0,True,LOSS,25418.28
2025-11-25 03:00:00+00:00,LONG,4124.68839,4121.49678,1.59,845.78,11.13,834.65,2,True,WIN,26252.93
2025-11-25 09:36:00+00:00,LONG,4132.94507,4130.80014,2.45,350.34,17.15,333.19,1,True,BREAKEVEN,26586.12
2025-11-25 10:54:00+00:00,LONG,4110.62342,4105.96684,1.14,1524.92,7.98,1516.94,3,False,WIN,28103.06
2025-11-26 09:51:00+00:00,SHORT,4160.71764,4162.84528,2.64,-561.7,18.48,-580.18,0,True,LOSS,27522.88
2025-11-27 06:06:00+00:00,LONG,4143.45198,4142.26396,4.63,1580.08,32.41,1547.67,3,False,WIN,29070.56
2025-11-28 07:09:00+00:00,LONG,4177.52303,4175.67606,3.15,1671.27,22.05,1649.22,3,True,WIN,30719.77
2025-12-02 10:06:00+00:00,LONG,4208.09258,4206.25516,3.34,1762.91,23.38,1739.53,3,True,WIN,32459.3
2025-12-04 07:21:00+00:00,LONG,4190.0202,4188.5304,4.36,1865.91,30.52,1835.39,3,True,WIN,34294.69
2025-12-05 09:09:00+00:00,SHORT,4230.16612,4231.39224,5.59,1024.95,39.13,985.82,2,True,WIN,35280.5
2025-12-08 01:00:00+00:00,LONG,4190.21866,4188.16732,3.44,2027.08,24.08,2003.0,3,False,WIN,37283.5
2025-12-08 06:33:00+00:00,SHORT,4213.09185,4214.3237,6.05,1902.95,42.35,1860.6,3,True,WIN,39144.1
2025-12-08 10:00:00+00:00,LONG,4204.42563,4202.31126,3.7,2247.28,25.9,2221.38,3,True,WIN,41365.48
2025-12-09 03:00:00+00:00,LONG,4189.13894,4188.05788,7.65,2375.67,53.55,2322.12,3,True,WIN,43687.61
2025-12-09 06:54:00+00:00,LONG,4185.07786,4183.25572,4.8,-874.63,33.6,-908.23,0,True,LOSS,42779.38
2025-12-10 01:48:00+00:00,SHORT,4213.02354,4214.17708,7.42,2166.95,51.94,2115.01,3,True,WIN,44894.39
2025-12-10 10:00:00+00:00,LONG,4202.29827,4201.14654,7.8,598.9,54.6,544.3,1,True,BREAKEVEN,45438.69
2025-12-11 07:39:00+00:00,LONG,4207.22065,4205.7213,6.06,605.74,42.42,563.32,1,True,BREAKEVEN,46002.0
2025-12-11 09:36:00+00:00,SHORT,4216.19815,4217.2963,8.38,1357.77,58.66,1299.11,2,True,WIN,47301.11
2025-12-12 02:54:00+00:00,LONG,4270.5247,4268.9394,5.97,-946.42,41.79,-988.21,0,True,LOSS,46312.9
2025-12-15 01:00:00+00:00,LONG,4295.89008,4294.53016,6.81,2660.33,47.67,2612.66,3,False,WIN,48925.56
2025-12-15 08:45:00+00:00,SHORT,4347.33789,4349.03578,5.76,2582.85,40.32,2542.53,3,True,WIN,51468.09
2025-12-15 12:00:00+00:00,LONG,4341.03009,4339.50018,6.73,2957.71,47.11,2910.6,3,True,WIN,54378.69
2025-12-16 03:06:00+00:00,LONG,4300.13889,4297.99778,5.08,3124.48,35.56,3088.92,3,True,WIN,57467.61
2025-12-17 10:09:00+00:00,LONG,4310.61543,4308.08086,4.53,3298.21,31.71,3266.5,3,True,WIN,60734.11
2025-12-18 10:54:00+00:00,LONG,4323.45291,4321.73582,7.07,2023.3,49.49,1973.81,2,True,WIN,62707.92
2025-12-19 12:33:00+00:00,LONG,4323.00808,4321.26616,7.2,3602.76,50.4,3552.36,3,True,WIN,66260.29
2025-12-22 01:00:00+00:00,SHORT,4340.91659,4341.79318,15.12,3212.77,105.84,3106.93,3,True,WIN,69367.22
2025-12-26 03:42:00+00:00,LONG,4501.6759,4496.8818,2.89,-1385.49,20.23,-1405.72,0,True,LOSS,67961.49
2025-12-26 07:30:00+00:00,SHORT,4512.89162,4514.21324,10.28,2048.5,71.96,1976.54,2,True,WIN,69938.03
2026-01-05 03:03:00+00:00,SHORT,4418.27348,4426.17696,1.77,3948.92,12.39,3936.53,3,True,WIN,73874.56
2026-01-05 07:30:00+00:00,SHORT,4414.45192,4416.40384,7.57,3946.88,52.99,3893.89,3,True,WIN,77768.45
2026-01-06 03:03:00+00:00,LONG,4427.93488,4425.19976,5.69,4470.58,39.83,4430.75,3,False,WIN,82199.2
2026-01-07 02:39:00+00:00,LONG,4488.40593,4486.92186,11.08,1096.23,77.56,1018.67,1,True,BREAKEVEN,83217.87
2026-01-08 07:15:00+00:00,LONG,4423.3614,4420.5728,5.97,1109.86,41.79,1068.07,1,True,BREAKEVEN,84285.94
2026-01-08 10:03:00+00:00,LONG,4426.14395,4423.9379,7.64,2809.04,53.48,2755.56,2,True,WIN,87041.5
2026-01-09 10:06:00+00:00,SHORT,4476.54732,4478.38464,9.47,4625.75,66.29,4559.46,3,True,WIN,91600.96
2026-01-13 07:33:00+00:00,LONG,4586.0333,4583.4166,7.0,5261.71,49.0,5212.71,3,True,WIN,96813.68
2026-01-15 01:09:00+00:00,LONG,4612.87221,4609.68442,6.07,-1934.99,42.49,-1977.48,0,True,LOSS,94836.2
2026-01-16 03:00:00+00:00,LONG,4596.53385,4594.1177,7.85,5448.4,54.95,5393.45,3,True,WIN,100229.64
2026-01-16 07:30:00+00:00,SHORT,4603.36161,4604.85322,13.44,5230.25,94.08,5136.17,3,True,WIN,105365.81
2026-01-20 09:24:00+00:00,SHORT,4719.99627,4722.49254,8.44,-2106.85,59.08,-2165.93,0,True,LOSS,103199.88
2026-01-21 01:00:00+00:00,SHORT,4765.33441,4766.97882,12.55,5434.76,87.85,5346.91,3,True,WIN,108546.79
2026-01-22 03:03:00+00:00,LONG,4775.03135,4771.1827,5.64,6235.38,39.48,6195.9,3,True,WIN,114742.69
2026-01-22 11:30:00+00:00,LONG,4819.56939,4816.56878,7.65,1530.31,53.55,1476.76,1,True,BREAKEVEN,116219.45
2026-01-23 10:27:00+00:00,LONG,4902.98693,4894.05386,2.6,1548.4,18.2,1530.2,1,True,BREAKEVEN,117749.65
2026-01-28 06:57:00+00:00,SHORT,5248.63635,5251.6827,7.73,1515.78,54.11,1461.67,1,True,BREAKEVEN,119211.31
2026-01-28 09:09:00+00:00,SHORT,5275.07585,5278.9817,6.1,-2382.57,42.7,-2425.27,0,True,LOSS,116786.05
2026-01-29 03:09:00+00:00,LONG,5451.4433,5439.2766,1.92,6710.41,13.44,6696.97,3,False,WIN,123483.02
2026-01-30 03:00:00+00:00,LONG,5378.57428,5366.93856,2.12,-2466.77,14.84,-2481.61,0,True,LOSS,121001.41
2026-02-02 01:00:00+00:00,LONG,4816.60555,4804.3911,1.98,6947.27,13.86,6933.41,3,True,WIN,127934.82
2026-02-02 05:15:00+00:00,LONG,4674.86239,4659.06478,1.62,4265.35,11.34,4254.01,2,True,WIN,132188.83
2026-02-03 03:15:00+00:00,SHORT,4842.48153,4854.88306,2.13,-2641.53,14.91,-2656.44,0,True,LOSS,129532.4
2026-02-03 08:18:00+00:00,SHORT,4861.10483,4868.97966,3.29,-2590.82,23.03,-2613.85,0,True,LOSS,126918.55
2026-02-05 07:21:00+00:00,LONG,4841.2689,4833.2278,3.16,4234.98,22.12,4212.86,2,True,WIN,131131.41
