time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2025-11-03 14:03:00+00:00,SHORT,108061.06548,108222.48096,1.24,-200.16,12.4,-212.56,0,True,LOSS,9787.44
2025-11-05 15:42:00+00:00,SHORT,102961.4373,103084.2746,1.59,-195.31,15.9,-211.21,0,True,LOSS,9576.23
2025-11-05 21:48:00+00:00,LONG,103984.54346,103895.16692,2.14,127.51,21.4,106.11,1,True,BREAKEVEN,9682.34
2025-11-07 21:15:00+00:00,SHORT,102929.22438,103055.85876,1.53,123.05,15.3,107.75,1,True,BREAKEVEN,9790.09
2025-11-10 19:06:00+00:00,SHORT,105504.10924,105637.89848,1.46,124.38,14.6,109.78,1,True,BREAKEVEN,9899.87
2025-11-12 21:27:00+00:00,LONG,100876.144,100720.288,1.27,568.59,12.7,555.89,3,False,WIN,10455.77
2025-11-13 16:36:00+00:00,LONG,101879.4455,101755.391,1.69,602.25,16.9,585.35,3,True,WIN,11041.11
2025-11-14 19:27:00+00:00,LONG,96460.649,96315.298,1.52,-220.93,15.2,-236.13,0,True,LOSS,10804.98
2025-11-15 19:24:00+00:00,SHORT,96266.629,96377.758,1.94,575.71,19.4,556.31,3,True,WIN,11361.29
2025-11-17 15:03:00+00:00,LONG,95126.9195,95062.839,3.55,-227.49,35.5,-262.99,0,True,LOSS,11098.3
2025-11-20 15:27:00+00:00,SHORT,92028.333,92109.666,2.73,576.48,27.3,549.18,3,True,WIN,11647.49
2025-11-22 16:15:00+00:00,SHORT,84546.7775,84712.055,1.41,637.75,14.1,623.65,3,True,WIN,12271.14
2025-11-24 16:39:00+00:00,LONG,85694.492,85543.984,1.63,163.55,16.3,147.25,1,True,BREAKEVEN,12418.39
2025-11-24 21:48:00+00:00,LONG,88260.556,88168.112,2.69,-248.67,26.9,-275.57,0,True,LOSS,12142.82
2025-11-26 14:00:00+00:00,SHORT,87147.4125,87214.325,3.63,616.16,36.3,579.86,3,True,WIN,12722.68
2025-11-27 14:21:00+00:00,LONG,91202.295,91153.59,5.22,423.73,52.2,371.53,2,True,WIN,13094.21
2025-11-28 15:39:00+00:00,SHORT,91906.8825,92006.265,2.64,-262.37,26.4,-288.77,0,True,LOSS,12805.44
2025-11-29 17:21:00+00:00,SHORT,91130.7425,91222.485,2.79,393.12,27.9,365.22,2,True,WIN,13170.66
2025-11-29 20:12:00+00:00,LONG,90345.8755,90265.751,3.29,175.74,32.9,142.84,1,True,BREAKEVEN,13313.5
2025-11-30 18:21:00+00:00,SHORT,91772.0525,91846.605,3.57,-266.15,35.7,-301.85,0,True,LOSS,13011.65
2025-12-01 16:03:00+00:00,SHORT,86229.298,86332.596,2.52,163.46,25.2,138.26,1,True,BREAKEVEN,13149.91
2025-12-02 15:36:00+00:00,SHORT,87538.7595,87628.019,2.95,-263.32,29.5,-292.82,0,True,LOSS,12857.1
2025-12-03 14:21:00+00:00,LONG,92777.5935,92716.187,4.19,171.53,41.9,129.63,1,True,BREAKEVEN,12986.73
2025-12-05 15:15:00+00:00,LONG,91031.307,90969.614,4.21,-259.73,42.1,-301.83,0,True,LOSS,12684.9
2025-12-07 14:12:00+00:00,SHORT,89339.4475,89384.395,5.64,354.83,56.4,298.43,2,True,WIN,12983.32
2025-12-08 20:57:00+00:00,LONG,89763.457,89634.914,2.02,745.89,20.2,725.69,3,True,WIN,13709.01
2025-12-09 15:30:00+00:00,SHORT,90752.0705,90807.141,4.98,675.91,49.8,626.11,3,True,WIN,14335.12
2025-12-09 20:18:00+00:00,SHORT,94191.4435,94304.387,2.54,767.0,25.4,741.6,3,True,WIN,15076.73
2025-12-10 21:03:00+00:00,LONG,91772.778,91535.556,1.27,865.43,12.7,852.73,3,True,WIN,15929.46
2025-12-11 15:33:00+00:00,LONG,89899.724,89816.448,3.83,916.21,38.3,877.91,3,True,WIN,16807.37
2025-12-11 20:36:00+00:00,SHORT,90628.6895,90761.879,2.52,-335.64,25.2,-360.84,0,True,LOSS,16446.53
2025-12-12 16:30:00+00:00,LONG,92053.9925,91990.485,5.18,945.0,51.8,893.2,3,True,WIN,17339.73
2025-12-14 18:57:00+00:00,LONG,88577.48,88439.96,2.52,995.5,25.2,970.3,3,True,WIN,18310.03
2025-12-14 21:18:00+00:00,LONG,88522.511,88431.022,4.0,243.97,40.0,203.97,1,True,BREAKEVEN,18514.0
2025-12-15 16:33:00+00:00,LONG,89177.893,89086.786,4.06,1062.56,40.6,1021.96,3,True,WIN,19535.96
2025-12-16 15:24:00+00:00,SHORT,87547.1975,87639.895,4.21,1026.45,42.1,984.35,3,True,WIN,20520.3
2025-12-17 15:06:00+00:00,SHORT,87278.501,87369.002,4.53,1075.88,45.3,1030.58,3,True,WIN,21550.89
2025-12-19 14:00:00+00:00,LONG,88049.7445,87999.989,8.66,718.14,86.6,631.54,2,True,WIN,22182.43
2025-12-19 16:33:00+00:00,LONG,87670.731,87563.962,4.16,-444.16,41.6,-485.76,0,True,LOSS,21696.67
2025-12-20 15:21:00+00:00,LONG,87898.5825,87833.165,6.63,1245.9,66.3,1179.6,3,False,WIN,22876.27
