time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2025-11-04 01:06:00+00:00,LONG,48.01564,47.97229,4.61,-199.88,32.27,-232.15,0,True,LOSS,9767.85
2025-11-05 01:00:00+00:00,LONG,47.09914,47.07927,9.83,560.91,68.81,492.1,3,True,WIN,10259.96
2025-11-06 11:48:00+00:00,LONG,48.72743,48.70986,11.68,-205.24,81.76,-287.0,0,True,LOSS,9972.96
2025-11-07 01:00:00+00:00,LONG,47.99557,47.97915,12.15,573.3,85.05,488.25,3,True,WIN,10461.21
2025-11-10 01:00:00+00:00,LONG,48.30716,48.27832,7.25,600.65,50.75,549.9,3,False,WIN,11011.11
2025-11-11 01:18:00+00:00,LONG,50.49864,50.47228,8.35,146.73,58.45,88.28,1,True,BREAKEVEN,11099.39
2025-11-11 07:30:00+00:00,LONG,50.84906,50.80112,4.63,-221.97,32.41,-254.38,0,True,LOSS,10845.01
2025-11-11 09:51:00+00:00,LONG,50.58404,50.54507,5.57,623.44,38.99,584.45,3,True,WIN,11429.46
2025-11-12 03:00:00+00:00,LONG,51.07495,51.02089,4.23,656.8,29.61,627.19,3,True,WIN,12056.65
2025-11-13 03:18:00+00:00,LONG,52.98463,52.92027,3.75,-241.38,26.25,-267.63,0,True,LOSS,11789.03
2025-11-13 06:42:00+00:00,LONG,53.79861,53.70922,2.64,677.89,18.48,659.41,3,True,WIN,12448.43
2025-11-14 01:00:00+00:00,LONG,52.22174,52.16349,4.27,714.56,29.89,684.67,3,False,WIN,13133.1
2025-11-14 08:27:00+00:00,LONG,52.67727,52.60355,3.56,174.98,24.92,150.06,1,True,BREAKEVEN,13283.16
2025-11-18 07:21:00+00:00,SHORT,49.78045,49.89389,2.34,521.57,16.38,505.19,3,True,WIN,13788.34
2025-11-19 01:00:00+00:00,LONG,50.66004,50.62107,7.08,792.45,49.56,742.89,3,True,WIN,14531.23
2025-11-19 02:51:00+00:00,LONG,50.7301,50.69821,9.11,-290.58,63.77,-354.35,0,True,LOSS,14176.88
2025-11-19 04:18:00+00:00,SHORT,50.83078,50.92857,2.9,-283.57,20.3,-303.87,0,True,LOSS,13873.01
2025-11-20 08:00:00+00:00,LONG,51.1895,51.14499,6.23,796.44,43.61,752.83,3,True,WIN,14625.84
2025-11-21 01:00:00+00:00,SHORT,50.68482,50.77764,3.15,137.17,22.05,115.12,1,True,BREAKEVEN,14740.96
2025-11-21 02:33:00+00:00,LONG,50.65523,50.61645,7.6,491.12,53.2,437.92,2,True,WIN,15178.88
2025-11-21 10:03:00+00:00,LONG,49.09164,49.01429,3.92,871.06,27.44,843.62,3,True,WIN,16022.5
2025-11-24 03:03:00+00:00,LONG,49.9847,49.9444,7.95,-320.39,55.65,-376.04,0,True,LOSS,15646.46
2025-11-25 07:30:00+00:00,LONG,51.47779,51.45258,12.41,898.78,86.87,811.91,3,True,WIN,16458.37
2025-11-28 01:00:00+00:00,LONG,53.38791,53.37282,21.81,548.49,152.67,395.82,2,True,WIN,16854.19
2025-11-28 02:30:00+00:00,SHORT,53.53439,53.61078,4.41,-336.89,30.87,-367.76,0,True,LOSS,16486.43
2025-11-28 08:15:00+00:00,SHORT,54.17686,54.30272,2.62,677.41,18.34,659.07,3,True,WIN,17145.5
2025-11-28 11:51:00+00:00,LONG,53.37244,53.27389,3.48,985.23,24.36,960.87,3,False,WIN,18106.37
2025-12-01 01:00:00+00:00,LONG,56.30711,56.26223,8.07,1040.52,56.49,984.03,3,True,WIN,19090.4
2025-12-02 11:27:00+00:00,LONG,56.89394,56.81887,5.09,-382.07,35.63,-417.7,0,True,LOSS,18672.7
2025-12-03 04:39:00+00:00,SHORT,58.60839,58.71878,3.38,-373.12,23.66,-396.78,0,True,LOSS,18275.92
